,url,date,content,id,user,replyCount,retweetCount,likeCount,qouteCount,conversationId,lang,source,coordinates
16,https://twitter.com/DanicaPatrick/status/1613653298950639617,2023-01-12 21:45:01+00:00,"My new mystical friend @the.alchemist Sarah Elkhaldy is on the #PrettyIntensePodcast today. Sarah explains timelines, dimensions, purpose, dharma.  Listen at https://t.co/cZ4zOagXft or watch on https://t.co/jWWfJvhM3L #TheAlchemist https://t.co/cN1kKVwzsm",1613653298950639617,DanicaPatrick,13,12,91,1,1613653298950639617,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
17,https://twitter.com/DanicaPatrick/status/1612902131048087552,2023-01-10 20:00:08+00:00,YouTube Clips out today @kellyngores on #PrettyIntensePodcast. We talk about the superpowers women have and men's survival skills. How we complement each other’s roles and where we clash.  Watch here https://t.co/ahxRDHGjr8 or listen at https://t.co/cZ4zOagXft #HealDocumentary https://t.co/HGd8Ap7En2,1612902131048087552,DanicaPatrick,9,3,87,0,1612902131048087552,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
18,https://twitter.com/DanicaPatrick/status/1612169773625872385,2023-01-08 19:30:01+00:00,"Looking back at my interview with @SadhguruJV about the meaning of life. How memory affects us, and ways to make peace with it, and leave that bag of Karma behind. We all want a more joyful life. Watch at https://t.co/yiedS884lD #SadhguruKarma https://t.co/JgfYJbd2Te",1612169773625872385,DanicaPatrick,23,124,346,21,1612169773625872385,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
19,https://twitter.com/DanicaPatrick/status/1611090217187827712,2023-01-05 20:00:15+00:00,"My great friend @kellyngores is on #PrettyIntensePodcast. Kelly's “Heal"" documentary is a must-see. This is the first time Kelly talks about her breast explant publicly. Listening at https://t.co/cZ4zOagXft or watch on https://t.co/4Vrw1S8kmS #HealDocumentary https://t.co/usd8F4aCPp",1611090217187827712,DanicaPatrick,7,11,95,0,1611090217187827712,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
20,https://twitter.com/DanicaPatrick/status/1610365478546952193,2023-01-03 20:00:23+00:00,My 2022 Solo Episode YouTube Clips are out today. I am sharing my 2022 health journey and answering some pretty intense questions in an AMA - Q&amp;A. Wishing you all a very happy 2023. Watch at https://t.co/hx6XyvBrMG or listen https://t.co/cZ4zOagXft #PrettyIntensePodcast #EMDR https://t.co/rkL8GdVRY4,1610365478546952193,DanicaPatrick,9,13,139,0,1610365478546952193,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
21,https://twitter.com/DanicaPatrick/status/1608553574924967941,2022-12-29 20:00:32+00:00,"It's that time of the year on #PrettyIntensePodcast, the end of the year, my solo episode. This is an AMA - Q&amp;A style Solo Episode 2022. I hope you enjoy it. Happy holidays everyone, and thanks for listening at https://t.co/cZ4zOagXft or watch on https://t.co/8HMUnOdXTB #EMDR https://t.co/DREMPufv1e",1608553574924967941,DanicaPatrick,18,15,189,1,1608553574924967941,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
22,https://twitter.com/DanicaPatrick/status/1607828811986370560,2022-12-27 20:00:35+00:00,"YouTube Clips  @leannrimes #PrettyIntensePodcast today. Whether we are dancing, singing, chanting, or meditating, music guides us to that bliss. Watch at YouTube Clips here https://t.co/wt8n0bmtJy or listen at https://t.co/cZ4zOagXft  #God’sWork https://t.co/QWEe4S2FN2",1607828811986370560,DanicaPatrick,12,8,125,2,1607828811986370560,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
23,https://twitter.com/DanicaPatrick/status/1606016881478991872,2022-12-22 20:00:37+00:00,"Singing superstar @leannrimes is on #PrettyIntensePodcast. LeAnn opens her heart, sharing her inner struggles. She had to face the brutal truth about her past to make way for a happier future. Listen at https://t.co/cZ4zOagXft or watch on https://t.co/1N5w3PPZYW #GodsWork https://t.co/EsPu6KKjTN",1606016881478991872,DanicaPatrick,7,10,121,0,1606016881478991872,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
24,https://twitter.com/DanicaPatrick/status/1605292581117743132,2022-12-20 20:02:30+00:00,YouTube Clips with @aaron_doughty44 on the #PrettyIntensePodcast are out today. This episode is all about being in alignment with yourself and taking space to learn who you really are; watch at https://t.co/hLbKmkOuul or listen at https://t.co/cZ4zOagXft #FindYourPurpose,1605292581117743132,DanicaPatrick,6,4,72,2,1605292581117743132,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
25,https://twitter.com/DanicaPatrick/status/1603480102574112768,2022-12-15 20:00:22+00:00,Excited to have @aarondoughty44 on #PrettyIntensePodcast. The YouTube sensation helps people expand their consciousness. Be guided by your highest vibrations to be your true authentic self. Listen at https://t.co/cZ4zOagXft or watch on https://t.co/ici7fAQeeu #FrameTechnique https://t.co/dRGf4ppVvL,1603480102574112768,DanicaPatrick,4,9,57,1,1603480102574112768,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
26,https://twitter.com/DanicaPatrick/status/1602755384162353153,2022-12-13 20:00:35+00:00,"YouTube Clips  @richroll on #PrettyIntensePodcast. Do we all suffer some sort of addiction? People are addicted to social media, bad relationships, food, alcohol, sex and even exercise. Watch https://t.co/9VtJ4TvGbH or listen at https://t.co/cZ4zOagXft #RichRollPodcast https://t.co/CxBCbrblBq",1602755384162353153,DanicaPatrick,6,11,84,0,1602755384162353153,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
27,https://twitter.com/DanicaPatrick/status/1600943350936489985,2022-12-08 20:00:13+00:00,"The inspiring @richroll is on #PrettyIntensePodcast today. Rich is a success story of surviving addiction, dedicated to giving back &amp; making the world a better place. Purpose is where true happiness comes from. https://t.co/cZ4zOagXft or https://t.co/amH7QbjH0H  #RichRollPodcast https://t.co/ukmAHbeGFR",1600943350936489985,DanicaPatrick,1,7,53,0,1600943350936489985,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
28,https://twitter.com/DanicaPatrick/status/1600218604053594114,2022-12-06 20:00:20+00:00,YouTube Clips with @ChrisWillx on the #PrettyIntensePodcast are out today. Find out the effects of birth control pills on women and why men watch porn. Watch at https://t.co/JXEQbC5Nvo or listen to the full episode at https://t.co/cZ4zOagXft #Relationships #MatingCrisis https://t.co/GCL6fFyE5A,1600218604053594114,DanicaPatrick,7,8,51,1,1600218604053594114,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
29,https://twitter.com/DanicaPatrick/status/1598433051809292300,2022-12-01 21:45:11+00:00,"The captivating @ChrisWillx is on #PrettyIntensePodcast. Host of the hugely popular #ModernWisdomPodcast. We unpack dynamics between men &amp; women, what it's like to be a man, the dating hierarchy and how that is shifting. https://t.co/cZ4zOagXft or watch on https://t.co/g66z5v4Evx https://t.co/v1Jev9AQSv",1598433051809292300,DanicaPatrick,11,13,103,1,1598433051809292300,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
30,https://twitter.com/DanicaPatrick/status/1597999831573741570,2022-11-30 17:03:43+00:00,‘Tis the season of giving and gratitude!  Somnium has a selection of holiday-ready gifts and wine collections that offer something for everyone.  Gift options: https://t.co/XIhdStLwWX. The First 40 orders from our Gift Guide receive an autographed card from Danica!  @SomniumWine https://t.co/Ajvx4SPsbb,1597999831573741570,DanicaPatrick,4,6,52,0,1597999831573741570,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
31,https://twitter.com/DanicaPatrick/status/1597696947028201474,2022-11-29 21:00:10+00:00,The mind-blowing @donalddhoffman is on #PrettyIntensePodcast today. Are space and time doomed? Is anything actually real? Get your thinking caps on this interview is out of this world. Listen at https://t.co/cZ4zOagXft or watch on https://t.co/HIkDaGCTkz #Consciousness #Portals https://t.co/4so7gq2Nky,1597696947028201474,DanicaPatrick,6,6,56,0,1597696947028201474,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
32,https://twitter.com/DanicaPatrick/status/1596534242338476037,2022-11-26 16:00:00+00:00,The mind blowing @donalddhoffman is on #PrettyIntensePodcast today. Are space and time doomed? Is anything real? Get your thinking caps on. This one is out of this world. Listen at https://t.co/cZ4zO9ZlQT or watch on https://t.co/HIkDaGUuc7 #Consciousness #Portals #Reality https://t.co/l1h3bZk5YJ,1596534242338476037,DanicaPatrick,4,5,68,0,1596534242338476037,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
33,https://twitter.com/DanicaPatrick/status/1596220914428878848,2022-11-25 19:14:57+00:00,You forgot beam dream from @Beamtlc!!!! Literally the best!,1596220914428878848,DanicaPatrick,4,4,44,1,1596220914428878848,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
34,https://twitter.com/DanicaPatrick/status/1596211333136990208,2022-11-25 18:36:52+00:00,"❤️ Seasonal savings! Give the gift of Scent, with my beautiful candle collection @voyantbydanica Enter ⚡️THANKS22 ⚡️at checkout for 25% off your order. https://t.co/XMhDRQP0pY",1596211333136990208,DanicaPatrick,8,5,91,1,1596211333136990208,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
35,https://twitter.com/DanicaPatrick/status/1595145144227053574,2022-11-22 20:00:13+00:00,YouTube Clips with @DrJoeDispenza on the #PrettyIntensePodcast. Learn to heal yourself through meditation and learn the skills of being conscious. Watch at https://t.co/3lDzI0jgqV or listen to the full episode at https://t.co/cZ4zOagXft #DrJoe #Heal #Meditation https://t.co/fHigszZoAG,1595145144227053574,DanicaPatrick,7,1,66,0,1595145144227053574,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
36,https://twitter.com/DanicaPatrick/status/1593998831414169602,2022-11-19 16:05:11+00:00,"❤️ Seasonal savings! Give the gift of Scent with my beautiful candle collection @voyantbydanica. Enter ⚡️THANKS22 ⚡️at checkout for 25% off your order.
https://t.co/2Hnq8cpaoV https://t.co/Ul4ngt9iur",1593998831414169602,DanicaPatrick,7,6,91,5,1593998831414169602,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
37,https://twitter.com/DanicaPatrick/status/1593303087720153096,2022-11-17 18:00:32+00:00,I’m excited to have @DrJoeDispenza on #PrettyIntensePodcast today. Exist in the consciousness through meditation to create a new outcome. Learn to master the art of manifestation. Listen at https://t.co/cZ4zOagXft or watch on https://t.co/4VHazLvDDE  #DrJoe #Heal #Meditation https://t.co/ABZRj74WRm,1593303087720153096,DanicaPatrick,6,5,63,0,1593303087720153096,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",
